id,word_sr_sing,word_sr_plur,word_ru,gender,type,category
139,Pogled,Pogledi,Взгляд,m,noun,Basics
140,Mama,Mame,Мама,f,noun,Family & People
141,Vek,Vekovi,Век,m,noun,Time & Calendar
142,Cilj,Ciljevi,Цель,m,noun,Basics
143,Društvo,Društva,Общество,n,noun,Basics
144,Delatnost,Delatnosti,Деятельность,f,noun,Work & Study
145,Organizacija,Organizacije,Организация,f,noun,Work & Study
146,Predsednik,Predsednici,Президент,m,noun,Work & Study
147,Soba,Sobe,Комната,f,noun,Places & City
148,Red,Redovi,Порядок,m,noun,Basics
149,Trenutak,Trenuci,Момент,m,noun,Time & Calendar
150,Pozorište,Pozorišta,Театр,n,noun,Places & City
151,Pismo,Pisma,Письмо,n,noun,Communication
152,Pomoć,Pomoći,Помощь,f,noun,Basics
153,Situacija,Situacije,Ситуация,f,noun,Basics
154,Uloga,Uloge,Роль,f,noun,Basics
155,Rublja,Rublje,Рубль,f,noun,Basics
156,Smisao,Smislovi,Смысл,m,noun,Basics
157,Stanje,Stanja,Состояние,n,noun,Basics
158,Organ,Organi,Орган,m,noun,Body & Health
159,Pažnja,,Внимание,f,noun,Basics
160,Telo,Tela,Тело,n,noun,Body & Health
161,Rad,Radovi,Труд,m,noun,Work & Study
162,Mera,Mere,Мера,f,noun,Basics
163,Smrt,Smrti,Смерть,f,noun,Basics
164,Tržište,Tržišta,Рынок,n,noun,Places & City
165,Program,Programi,Программа,m,noun,Basics
166,Zadatak,Zadaci,Задача,m,noun,Work & Study
167,Preduzeće,Preduzeća,Предприятие,n,noun,Work & Study
168,Razgovor,Razgovori,Разговор,m,noun,Communication
169,Vlada,Vlade,Правительство,f,noun,Places & City
170,Porodica,Porodice,Семья,f,noun,Family & People
171,Proizvodnja,Proizvodnje,Производство,f,noun,Work & Study
172,Informacija,Informacije,Информация,f,noun,Communication
173,Položaj,Položaji,Положение,m,noun,Basics
174,Centar,Centri,Центр,m,noun,Places & City
175,Odgovor,Odgovori,Ответ,m,noun,Communication
176,Muž,Muževi,Муж,m,noun,Family & People
177,Autor,Autori,Автор,m,noun,Work & Study
178,Zid,Zidovi,Стена,m,noun,Places & City
179,Interes,Interesi,Интерес,m,noun,Basics
180,Federacija,Federacije,Федерация,f,noun,Places & City
181,Pravilo,Pravila,Правило,n,noun,Basics
182,Upravljanje,Upravljanja,Управление,n,noun,Work & Study
183,Muškarac,Muškarci,Мужчина,m,noun,Family & People
184,Ideja,Ideje,Идея,f,noun,Basics
185,Partija,Partije,Партия,f,noun,Basics
186,Savet,Saveti,Совет,m,noun,Communication
187,Račun,Računi,Счет,m,noun,Basics
188,Srce,Srca,Сердце,n,noun,Body & Health
189,Pokret,Pokreti,Движение,m,noun,Basics
190,Stvar,Stвари,Вещь,f,noun,Objects & Items
191,Materijal,Materijali,Материал,m,noun,Objects & Items
192,Nedelja,Nedelje,Неделя,f,noun,Time & Calendar
193,Osećanje,Osećanja,Чувство,n,noun,Basics
194,Poglavlje,Poglavlja,Глава,n,noun,Objects & Items
195,Nauka,Nauke,Наука,f,noun,Work & Study
196,Red,Redovi,Ряд,m,noun,Basics
197,Novine,Novine,Газета,f,noun,Objects & Items
198,Uzrok,Uzroci,Причина,m,noun,Basics
199,Rame,Ramena,Плечо,n,noun,Body & Health
200,Cena,Cene,Цена,f,noun,Basics
201,Plan,Planovi,План,m,noun,Work & Study
202,Govor,Govori,Речь,m,noun,Communication
203,Tačka,Tačke,Точка,f,noun,Basics
204,Osnova,Osnove,Основа,f,noun,Basics
205,Drug,Drugovi,Товарищ,m,noun,Family & People
206,Kultura,Kulture,Культура,f,noun,Basics
207,Podaci,Podaci,Данные,m,noun,Basics
208,Mišljenje,Mišljenja,Мнение,n,noun,Communication
209,Dokument,Dokumenti,Документ,m,noun,Work & Study
210,Institut,Instituti,Институт,m,noun,Work & Study
211,Potez,Potezi,Ход,m,noun,Basics
212,Projekat,Projekti,Проект,m,noun,Work & Study
213,Sastanak,Sastanci,Встреча,m,noun,Basics
214,Direktor,Direktori,Директор,m,noun,Work & Study
215,Rok,Rokovi,Срок,m,noun,Time & Calendar
216,Prst,Prsti,Палец,m,noun,Body & Health
217,Iskustvo,Iskustva,Опыт,n,noun,Basics
218,Služba,Službe,Служба,f,noun,Work & Study
219,Sudbina,Sudbine,Судьба,f,noun,Basics
220,Devojka,Devojke,Девушка,f,noun,Family & People
221,Red,Redovi,Очередь,m,noun,Basics
222,Šuma,Šume,Лес,f,noun,Places & City
223,Sastav,Sastavi,Состав,m,noun,Basics
224,Član,Članovi,Член,m,noun,Family & People
225,Količina,Količine,Количество,f,noun,Basics
226,Događaj,Događaji,Событие,m,noun,Basics
227,Objekat,Objekti,Объект,m,noun,Places & City
228,Sala,Sale,Зал,f,noun,Places & City
229,Stvaranje,Stvaranja,Создание,n,noun,Basics
230,Značenje,Značenja,Значение,n,noun,Communication
231,Period,Periodi,Период,m,noun,Time & Calendar
232,Korak,Koraci,Шаг,m,noun,Basics
233,Umetnost,Umetnosti,Искусство,f,noun,Basics
234,Struktura,Strukture,Структура,f,noun,Basics
235,Broj,Brojevi,Номер,m,noun,Basics
236,Primer,Primeri,Пример,m,noun,Basics
237,Istraživanje,Istraživanja,Исследование,n,noun,Work & Study
238,Građanin,Građani,Гражданин,m,noun,Family & People
239,Igra,Igre,Игра,f,noun,Basics
240,Šef,Šefovi,Начальник,m,noun,Work & Study
241,Rast,Rastovi,Рост,m,noun,Basics
242,Tema,Teme,Тема,f,noun,Communication
243,Princip,Principi,Принцип,m,noun,Basics
244,Metod,Metodi,Метод,m,noun,Work & Study
245,Tip,Tipovi,Тип,m,noun,Basics
246,Film,Filmovi,Фильм,m,noun,Basics
247,Kraj,Krajevi,Край,m,noun,Places & City
248,Gost,Gosti,Гость,m,noun,Family & People
249,Vazduh,,Воздух,m,noun,Basics
250,Karakter,Karakteri,Характер,m,noun,Basics
251,Borba,Borbe,Борьба,f,noun,Basics
252,Korišćenje,Korišćenja,Использование,n,noun,Basics
253,Veličina,Veličine,Размер,f,noun,Basics
254,Obrazovanje,Obrazovanja,Образование,n,noun,Work & Study
255,Dečak,Dečaci,Мальчик,m,noun,Family & People
256,Krv,,Кровь,f,noun,Body & Health
257,Oblast,Oblasti,Район,f,noun,Places & City
258,Nebo,Nebesa,Небо,n,noun,Places & City
259,Vojska,Vojske,Армия,f,noun,Basics
260,Razred,Razredi,Класс,m,noun,Work & Study
261,Predstavnik,Predstavnici,Представитель,m,noun,Work & Study
262,Učešće,Učešća,Участие,n,noun,Basics
263,Devojčica,Devojčice,Девочка,f,noun,Family & People
264,Politika,Politike,Политика,f,noun,Basics
265,Heroj,Heroji,Герой,m,noun,Basics
266,Slika,Slike,Картина,f,noun,Objects & Items
267,Dolar,Dolari,Доллар,m,noun,Basics
268,Leđa,Leđa,Спина,n,noun,Body & Health
269,Teritorija,Teritorije,Территория,f,noun,Places & City
270,Pol,Polovi,Пол,m,noun,Basics
271,Polje,Polja,Поле,n,noun,Places & City
272,Promena,Promene,Изменение,f,noun,Basics
273,Pravac,Pravci,Направление,m,noun,Basics
274,Crtež,Crteži,Рисунок,m,noun,Objects & Items
275,Tok,Tokovi,Течение,m,noun,Basics
276,Crkva,Crkve,Церковь,f,noun,Places & City
277,Banka,Banke,Банк,f,noun,Places & City
278,Scena,Scene,Сцена,f,noun,Basics
279,Stanovništvo,,Население,n,noun,Places & City
280,Većina,,Большинство,f,noun,Basics
281,Muzika,Muzike,Музыка,f,noun,Basics
282,Istina,Istine,Правда,f,noun,Basics
283,Sloboda,Slobode,Свобода,f,noun,Basics
284,Pamćenje,Pamćenja,Память,n,noun,Basics
285,Tim,Timovi,Команда,m,noun,Basics
286,Savez,Savezi,Союз,m,noun,Basics
287,Lekar,Lekari,Врач,m,noun,Work & Study
288,Ugovor,Ugovori,Договор,m,noun,Work & Study
289,Drvo,Drveće,Дерево,n,noun,Places & City
290,Činjenica,Činjenice,Факт,f,noun,Basics
291,Domaćin,Domaćini,Хозяин,m,noun,Family & People
292,Priroda,Prirode,Природа,f,noun,Places & City
293,Ugao,Uglovi,Угол,m,noun,Places & City
294,Pozicija,Pozicije,Позиция,f,noun,Basics
295,Dvorište,Dvorišta,Двор,n,noun,Places & City
296,Pisac,Pisci,Писатель,m,noun,Work & Study
297,Avion,Avioni,Самолет,m,noun,Objects & Items
298,Obim,Obimi,Объем,m,noun,Basics
299,Rod,Rodovi,Род,m,noun,Basics
300,Sunce,Sunca,Солнце,n,noun,Places & City
301,Vera,Vere,Вера,f,noun,Basics
302,Obala,Obale,Берег,f,noun,Places & City
303,Predstava,Predstave,Спектакль,f,noun,Basics
304,Firma,Firme,Фирма,f,noun,Work & Study
305,Način,Načini,Способ,m,noun,Basics
306,Fabrika,Fabrike,Завод,f,noun,Work & Study
307,Boja,Boje,Цвет,f,noun,Basics
308,Časopis,Časopisi,Журнал,m,noun,Objects & Items
309,Rukovodilac,Rukovodioci,Руководитель,m,noun,Work & Study
310,Stručnjak,Stručnjaci,Специалист,m,noun,Work & Study
311,Ocena,Ocene,Оценка,f,noun,Work & Study
312,Region,Regioni,Регион,m,noun,Places & City
313,Pesma,Pesme,Песня,f,noun,Basics
314,Procenat,Procenti,Процент,m,noun,Basics
315,Roditelj,Roditelji,Родитель,m,noun,Family & People
316,More,Mora,Море,n,noun,Places & City
317,Zahtev,Zahtevi,Требование,m,noun,Basics
318,Osnova,Osnove,Основание,f,noun,Basics
319,Polovina,Polovine,Половина,f,noun,Basics
320,Roman,Romani,Роман,m,noun,Objects & Items
321,Krug,Krugovi,Круг,m,noun,Basics
322,Analiza,Analize,Анализ,f,noun,Work & Study
323,Poezija,,Стихи,f,noun,Objects & Items
324,Automobil,Automobili,Автомобиль,m,noun,Objects & Items
325,Ekonomija,Ekonomije,Экономика,f,noun,Work & Study
326,Literatura,Literature,Литература,f,noun,Work & Study
327,Papir,Papiri,Бумага,m,noun,Objects & Items
328,Pesnik,Pesnici,Поэт,m,noun,Work & Study
329,Stepen,Stepeni,Степень,m,noun,Basics
330,Gospodin,Gospoda,Господин,m,noun,Family & People
331,Nada,Nade,Надежда,f,noun,Basics
332,Predmet,Predmeti,Предмет,m,noun,Objects & Items
333,Varijanta,Varijante,Вариант,f,noun,Basics
334,Ministar,Ministri,Министр,m,noun,Work & Study
335,Granica,Granice,Граница,f,noun,Places & City
336,Duh,Duhovi,Дух,m,noun,Basics
337,Model,Modeli,Модель,m,noun,Objects & Items
338,Operacija,Operacije,Операция,f,noun,Basics
339,Par,Parovi,Пара,m,noun,Basics
340,San,Snovi,Сон,m,noun,Basics
341,Ime,Imena,Название,n,noun,Basics
342,Um,Umovi,Ум,m,noun,Basics
343,Povod,Povodi,Повод,m,noun,Basics
344,Starac,Starci,Старик,m,noun,Family & People
345,Milion,Milioni,Миллион,m,noun,Basics
346,Uspeh,Uspesi,Успех,m,noun,Basics
347,Sreća,Sreće,Счастье,f,noun,Basics
348,Momci,Momci,Ребята,m,noun,Family & People
349,Kabinet,Kabineti,Кабинет,m,noun,Work & Study
350,Prostor,Prostori,Пространство,m,noun,Basics
351,Izlaz,Izlazi,Выход,m,noun,Places & City
352,Udarac,Udarci,Удар,m,noun,Basics
353,Baza,Baze,База,f,noun,Places & City
354,Znanje,Znanja,Знание,n,noun,Work & Study
355,Tekst,Tekstovi,Текст,m,noun,Communication
356,Zaštita,Zaštite,Защита,f,noun,Basics
357,Rukovodstvo,Rukovodstva,Руководство,n,noun,Work & Study
358,Trg,Trgovi,Площадь,m,noun,Places & City
359,Svest,,Сознание,f,noun,Basics
360,Godine,,Возраст,f,noun,Basics
361,Učesnik,Učesnici,Участник,m,noun,Basics
362,Zemljište,Zemljišta,Участок,n,noun,Places & City
363,Tačka,Tačke,Пункт,f,noun,Basics
364,Linija,Linije,Линия,f,noun,Basics
365,Želja,Želje,Желание,f,noun,Basics
366,Tata,Tate,Папа,m,noun,Family & People
367,Doktor,Doktori,Доктор,m,noun,Work & Study
368,Usna,Usne,Губа,f,noun,Body & Health
369,Sredina,Sredine,Среда,f,noun,Places & City
370,Predsednik,Predsednici,Председатель,m,noun,Work & Study
371,Predstava,Predstave,Представление,f,noun,Basics
372,Vojnik,Vojnici,Солдат,m,noun,Work & Study
373,Umetnik,Umetnici,Художник,m,noun,Work & Study
374,Kosa,Kose,Волос,f,noun,Body & Health
375,Oružje,Oružja,Оружие,n,noun,Objects & Items
376,Slaganje,Slaganja,Соответствие,n,noun,Basics
377,Vetar,Vetrovi,Ветер,m,noun,Places & City
378,Momak,Momci,Парень,m,noun,Family & People
379,Vid,,Зрение,m,noun,Body & Health
380,General,Generali,Генерал,m,noun,Work & Study
381,Vatra,Vatre,Огонь,f,noun,Basics
382,Pojam,Pojmovi,Понятие,m,noun,Basics
383,Izgradnja,Izgradnje,Строительство,f,noun,Work & Study
384,Uvo,Uši,Ухо,n,noun,Body & Health
385,Grudi,Grudi,Грудь,f,noun,Body & Health
386,Nos,Nosovi,Нос,m,noun,Body & Health
387,Strah,Strahovi,Страх,m,noun,Basics
388,Usluga,Usluge,Услуга,f,noun,Basics
389,Sadržaj,Sadržaji,Содержание,m,noun,Basics
390,Radost,Radosti,Радость,f,noun,Basics
391,Bezbednost,Bezbednosti,Безопасность,f,noun,Basics
392,Proizvod,Proizvodi,Продукт,m,noun,Objects & Items
393,Kompleks,Kompleksi,Комплекс,m,noun,Basics
394,Biznis,Biznisi,Бизнес,m,noun,Work & Study
395,Bašta,Bašte,Сад,f,noun,Places & City
396,Zaposleni,Zaposleni,Сотрудник,m,noun,Work & Study
397,Leto,Leta,Лето,n,noun,Time & Calendar
398,Kurs,Kursevi,Курс,m,noun,Work & Study
399,Predlog,Predlozi,Предложение,m,noun,Communication
400,Usta,Usta,Рот,n,noun,Body & Health
401,Tehnologija,Tehnologije,Технология,f,noun,Work & Study
402,Reforma,Reforme,Реформа,f,noun,Basics
403,Odsustvo,Odsustva,Отсутствие,n,noun,Basics
404,Pas,Psi,Собака,m,noun,Objects & Items
405,Kamen,Kamenje,Камень,m,noun,Objects & Items
406,Budućnost,Budućnosti,Будущее,f,noun,Time & Calendar
407,Priča,Priče,Рассказ,f,noun,Communication
408,Kontrola,Kontrole,Контроль,f,noun,Basics
409,Reka,Reke,Река,f,noun,Places & City
410,Proizvodnja,Proizvodnje,Продукция,f,noun,Work & Study
411,Iznos,Iznosi,Сумма,m,noun,Basics
412,Tehnika,Tehnike,Техника,f,noun,Basics
413,Zgrada,Zgrade,Здание,f,noun,Places & City
414,Sfera,Sfere,Сфера,f,noun,Basics
415,Potreba,Potrebe,Необходимость,f,noun,Basics
416,Fond,Fondovi,Фонд,m,noun,Basics
417,Priprema,Pripreme,Подготовка,f,noun,Work & Study
418,List,Listovi,Лист,m,noun,Objects & Items
419,Republika,Republike,Республика,f,noun,Places & City
420,Domaćinstvo,Domaćinstva,Хозяйство,n,noun,Places & City
421,Volja,Volje,Воля,f,noun,Basics
422,Budžet,Budžeti,Бюджет,m,noun,Basics
423,Sneg,Snegovi,Снег,m,noun,Places & City
424,Selo,Sela,Деревня,n,noun,Places & City
425,Čovek,Ljudi,Мужик,m,noun,Family & People
426,Element,Elementi,Элемент,m,noun,Basics
427,Okolnost,Okolnosti,Обстоятельство,f,noun,Basics
428,Nemac,Nemci,Немец,m,noun,Family & People
429,Pobeda,Pobede,Победа,f,noun,Basics
430,Izvor,Izvori,Источник,m,noun,Basics
431,Zvezda,Zvezde,Звезда,f,noun,Places & City
432,Izbor,Izbori,Выбор,m,noun,Basics
433,Masa,Mase,Масса,f,noun,Basics
434,Rezultat,Rezultati,Итог,m,noun,Basics
435,Praksa,Prakse,Практика,f,noun,Work & Study
436,Održavanje,Održavanja,Проведение,n,noun,Basics
437,Džep,Džepovi,Карман,m,noun,Objects & Items
438,Slava,Slave,Слава,f,noun,Basics
439,Kuhinja,Kuhinje,Кухня,f,noun,Places & City
440,Definicija,Definicije,Определение,f,noun,Communication
441,Funkcija,Funkcije,Функция,f,noun,Basics
442,Vojska,Vojske,Войско,f,noun,Basics
443,Komisija,Komisije,Комиссия,f,noun,Work & Study
444,Primena,Primene,Применение,f,noun,Basics
445,Kapetan,Kapetani,Капитан,m,noun,Work & Study
446,Radnik,Radnici,Работник,m,noun,Work & Study
447,Obezbeđenje,Obezbeđenja,Обеспечение,n,noun,Basics
448,Oficir,Oficiri,Офицер,m,noun,Work & Study
449,Prezime,Prezimena,Фамилия,n,noun,Family & People
450,Granica,Granice,Предел,f,noun,Basics
451,Izbori,Izbori,Выборы,m,noun,Basics
452,Naučник,Naučnici,Ученый,m,noun,Work & Study
453,Flaša,Flaše,Бутылка,f,noun,Objects & Items
454,Borba,Borbe,Бой,f,noun,Basics
455,Teorija,Teorije,Теория,f,noun,Work & Study
456,Zona,Zone,Зона,f,noun,Places & City
457,Odeljenje,Odeljenja,Отдел,n,noun,Work & Study
458,Zub,Zubi,Зуб,m,noun,Body & Health
459,Razvoj,Razvoji,Разработка,m,noun,Work & Study
460,Ličnost,Ličnosti,Личность,f,noun,Family & People
461,Planina,Planine,Гора,f,noun,Places & City
462,Roba,Robe,Товар,f,noun,Objects & Items
463,Metar,Metri,Метр,m,noun,Basics
464,Prazник,Praznici,Праздник,m,noun,Time & Calendar
465,Uticaj,Uticaji,Влияние,m,noun,Basics
466,Čitalac,Čitaoci,Читатель,m,noun,Work & Study
467,Zadovoljstvo,Zadovoljstva,Удовольствие,n,noun,Basics
468,Glumac,Glumci,Актер,m,noun,Work & Study
469,Suza,Suze,Слеза,f,noun,Body & Health
470,Odgovornost,Odgovornosti,Ответственность,f,noun,Basics
471,Učitelj,Učitelji,Учитель,m,noun,Work & Study
472,Čin,Činovi,Акт,m,noun,Basics
473,Bol,Bolovi,Боль,m,noun,Body & Health
474,Mnoštvo,Mnoštva,Множество,n,noun,Basics
475,Karakteristika,Karakteristike,Особенность,f,noun,Basics
476,Pokazatelj,Pokazatelji,Показатель,m,noun,Basics
477,Brod,Brodovi,Корабль,m,noun,Objects & Items
478,Zvuk,Zvuci,Звук,m,noun,Basics
479,Utisak,Utisci,Впечатление,m,noun,Basics
480,Detalj,Detalji,Частность,m,noun,Basics
481,Detinjstvo,Detinjstva,Детство,n,noun,Time & Calendar
482,Zaključak,Zaključci,Вывод,m,noun,Communication
483,Profesor,Profesori,Профессор,m,noun,Work & Study
484,Udeo,Udeli,Доля,m,noun,Basics
485,Norma,Norme,Норма,f,noun,Basics
486,Prošlost,Prošlosti,Прошлое,f,noun,Time & Calendar
487,Komandant,Komandanti,Командир,m,noun,Work & Study
488,Hodnik,Hodnici,Коридор,m,noun,Places & City
489,Podrška,Podrške,Поддержка,f,noun,Basics
490,Okvir,Okviri,Рамка,m,noun,Objects & Items
491,Neprijatelj,Neprijatelji,Враг,m,noun,Family & People
492,Faza,Faze,Этап,f,noun,Basics
493,Đavo,Đavoli,Черт,m,noun,Family & People
494,Deda,Dede,Дед,m,noun,Family & People
495,Sastanak,Sastanci,Собрание,m,noun,Work & Study
496,Prijem,Prijemi,Прием,m,noun,Basics
497,Bolest,Bolesti,Болезнь,f,noun,Body & Health
498,Ćelija,Ćelije,Клетка,f,noun,Body & Health
499,Koža,Kože,Кожа,f,noun,Body & Health
500,Izjava,Izjave,Заявление,f,noun,Communication
501,Pokušaj,Pokušaji,Попытка,m,noun,Basics
502,Poređenje,Poređenja,Сравнение,n,noun,Basics
503,Proračun,Proračuni,Расчет,m,noun,Work & Study
504,Poslanik,Poslanici,Депутат,m,noun,Work & Study
505,Odbor,Odbori,Комитет,m,noun,Work & Study
506,Znak,Znakovi,Знак,m,noun,Basics
507,Ujak,Ujaci,Дядя,m,noun,Family & People
508,Evidencija,Evidencije,Учет,f,noun,Work & Study
509,Režim,Režimi,Режим,m,noun,Basics
510,Celina,Celine,Целое,f,noun,Basics
511,Virus,Virusi,Вирус,m,noun,Body & Health
512,Izraz,Izrazi,Выражение,m,noun,Communication
513,Zdravlje,,Здоровье,n,noun,Body & Health
514,Zima,Zime,Зима,f,noun,Time & Calendar
515,Desetak,Desetine,Десяток,m,noun,Basics
516,Dubina,Dubine,Глубина,f,noun,Basics
517,Mreža,Mreže,Сеть,f,noun,Basics
518,Student,Studenti,Студент,m,noun,Work & Study
519,Sekunda,Sekunde,Секунда,f,noun,Time & Calendar
520,Brzina,Brzine,Скорость,f,noun,Basics
